time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
2613,520,152,399360,-5.259596572513045e-05,1.2882535457611084,0.9196065664291382,1557,0.2,2.042915071878168,0.0,0.00025,-1.8652295e-09,1.6087950724694463e-07,-6519.593219571428,73049.42857142857
2617,521,152,400128,-5.627683412967599e-05,1.7559618949890137,0.9162068963050842,1560,0.2,1.3887904617521498,0.0,0.00025,-3.3784922e-09,1.8656848826342159e-07,-6519.593219571428,73049.42857142857
2622,522,152,400896,-5.574091387138146e-05,1.1147122383117676,0.9435415267944336,1563,0.2,2.3387825878130064,0.0,0.00025,8.4091417e-10,1.6333069652318954e-07,-6519.593219571428,73049.42857142857
2627,523,152,401664,-6.006031940665303e-05,1.5535176992416382,0.9264200329780579,1566,0.2,1.7802730566925473,0.0,0.00025,-8.430847e-10,1.4873350866966777e-07,-6519.593219571428,73049.42857142857
2634,524,152,402432,-6.955497929084231e-05,3.3499019145965576,0.8170417547225952,1569,0.2,3.8351612869236202,0.0,0.00025,-5.203112e-09,2.5264065091808635e-07,-6519.593219571428,73049.42857142857
2639,525,152,403200,-5.550617475415088e-05,1.8884894847869873,0.8176102042198181,1572,0.2,1.837495697869195,0.0,0.00025,-9.030511e-09,3.027057068215476e-07,-6567.4470341999995,73777.33333333333
2644,526,152,403968,-7.03140932879857e-05,34.41122055053711,-0.028310179710388184,1575,0.2,83.12926613622241,0.0,0.00025,7.1296063e-10,7.495400495827198e-07,-6567.4470341999995,73777.33333333333
2648,527,152,404736,-6.183450750540942e-05,1.7804970741271973,0.6487637758255005,1578,0.2,3.247412590516938,0.0,0.00025,-8.872399e-11,3.376432384053866e-07,-6567.4470341999995,73777.33333333333
2653,528,152,405504,-5.740764486795847e-05,1.884914517402649,0.8369247913360596,1581,0.2,2.835446992682086,0.0,0.00025,-1.2050138e-09,2.565599667529265e-07,-6609.319122,74414.25
2657,529,152,406272,-7.827399955810203e-05,11.02579402923584,0.08340656757354736,1584,0.2,70.63791860474481,0.0,0.00025,1.0059802e-09,5.290526638014449e-07,-6609.319122,74414.25
