time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/n_updates,train/clip_fraction,train/learning_rate
3699,88.94827006999998,176,1237.31,106,651264,0.007077278118231334,0.2,0.020483376,0.9627276659011841,-6.906785915295283,4.011373519897461,9.912537212173143,420,0.3263346354166667,0.00025
3736,92.92689012999999,175,1229.95,107,657408,0.00979264710622374,0.2,0.025911925,0.9664461016654968,-6.927431563536326,2.5296692848205566,8.466670781373978,424,0.3783772786458333,0.00025
3770,90.03952014000002,175,1225.78,108,663552,0.015282948448051078,0.2,0.043654483,0.9757927656173706,-6.999691724777222,3.0012571811676025,7.574680258830388,428,0.399658203125,0.00025
3809,115.79367024,175,1187.72,109,669696,0.01436531185269511,0.2,0.029972905,0.9612520337104797,-7.113429208596547,3.6148855686187744,10.517427504062653,432,0.36279296875,0.00025
3843,105.77838023999998,175,1249.48,110,675840,0.013448741408258988,0.2,0.04151128,0.9759507179260254,-6.919502372543017,2.837177038192749,8.84824805955092,436,0.4013671875,0.00025
3878,92.09331529,175,1311.47,111,681984,0.009343229966664998,0.2,0.044083152,0.9526190757751465,-6.974725961685181,2.891960620880127,9.36320249736309,440,0.4366048177083333,0.00025
3913,84.48921024,175,1363.56,112,688128,0.004479090212650287,0.2,0.023374602,0.9581541419029236,-6.998889669775963,3.8995909690856934,8.805220812559128,444,0.3409016927083333,0.00025
3948,76.19185017999999,175,1419.23,113,694272,0.0011924055822116013,0.2,0.027753428,0.9698382616043091,-6.897590105732282,4.126867294311523,10.592648978034655,448,0.2969970703125,0.00025
3984,65.60108016,175,1486.04,114,700416,0.006828654994023964,0.2,0.02658013,0.9331664443016052,-6.981504291296005,5.342513561248779,12.128645037611326,452,0.3262939453125,0.00025
4017,57.16411506,175,1507.9,115,706560,0.0076249741250649095,0.2,0.0376953,0.9676606059074402,-6.847867459058762,3.431429386138916,8.03019842505455,456,0.4119466145833333,0.00025
4054,72.90886996,175,1362.37,116,712704,0.0111682264105184,0.2,0.02514776,0.963119626045227,-6.7941509038209915,4.588902473449707,9.109221130609512,460,0.4014892578125,0.00025
4091,77.437765,175,1204.38,117,718848,0.0038527360496421656,0.2,0.04289862,0.9636203646659851,-6.771810745199521,5.466942310333252,14.866347114245096,464,0.3425699869791667,0.00025
4125,89.18715005000001,175,1055.09,118,724992,0.012019111153980097,0.2,0.03788874,0.9617916345596313,-6.725752234458923,4.3944926261901855,11.85649961233139,468,0.3245849609375,0.00025
4164,102.82521507,175,968.3,119,731136,0.016393208206864074,0.2,0.024544835,0.9651994705200195,-6.663486664493878,3.3180928230285645,11.4439378430446,472,0.3330078125,0.00025
