time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/loss,rollout/ep_rew_mean
148,133,102144,687,-7.874443915155199,396,15.773134801122877,0.03151608,0.2,1017.08,0.7467920780181885,0.3103298611111111,-0.007905457336972985,0.00025,7.600193500518799,9946.52
148,134,102912,693,-7.789158986674415,399,11.416089124149746,0.03139927,0.2,1017.08,0.6429997682571411,0.3363715277777778,-0.0011018316856481964,0.00025,5.306244850158691,9839.92
148,135,103680,698,-7.889238430394067,402,11.794207599427965,0.025754899,0.2,1017.08,0.8215717673301697,0.2821180555555556,0.0006511884469849368,0.00025,4.995645999908447,9784.54
148,136,104448,703,-7.825674249066247,405,11.665291809373432,0.020004643,0.2,1017.08,0.4951341152191162,0.2751736111111111,-0.0008430371914679805,0.00025,6.055697441101074,9739.5
148,137,105216,708,-7.710633549425337,408,13.181241495741737,0.025931368,0.2,1017.08,0.8334577083587646,0.2864583333333333,-0.006489184439285762,0.00025,3.456027030944824,9738.72
148,138,105984,714,-7.724781142340766,411,10.420825905270046,0.035042904,0.2,1017.08,0.8686539530754089,0.3467881944444444,-0.0010193008800140685,0.00025,5.941386699676514,9661.4
148,139,106752,719,-7.855387846628825,414,15.161555435922411,0.036846355,0.2,1017.08,0.8994810581207275,0.3159722222222222,0.0023885799132080544,0.00025,7.033139228820801,9581.88
148,140,107520,724,-7.738058533933428,417,9.830969913138283,0.04208924,0.2,1017.08,0.6836326718330383,0.4027777777777778,0.006818343141478383,0.00025,5.45158052444458,9511.97
148,141,108288,729,-7.792353206210667,420,13.903479523128933,0.028102418,0.2,1017.08,0.8415944576263428,0.3268229166666667,0.01480401150830504,0.00025,7.005062580108643,9523.67
148,142,109056,735,-7.671546406216091,423,14.918514404031965,0.0476009,0.2,1017.08,0.9086166620254517,0.3598090277777778,0.01130791602190584,0.00025,9.976554870605469,9392.98
