time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,rollout/ep_rew_mean,train/explained_variance
248064,323,1521,163,-7.972642540931702,0.096938886,0.00025,1019.0,12.591126753224266,11.002069473266602,966,0.4743923611111111,0.023985125447830394,0.2,-23549.76,0.8079425096511841
248832,324,1528,162,-8.024491594897377,0.042377073,0.00025,1019.0,7.818449368079503,4.51894998550415,969,0.4288194444444444,0.012102382632696794,0.2,-23549.76,0.9448716044425964
249600,325,1533,162,-8.128239976035225,0.04426882,0.00025,1019.0,14.50715042485131,5.3082475662231445,972,0.5130208333333334,0.02750877851051175,0.2,-23893.92,0.8079900741577148
250368,326,1537,162,-8.116889437039694,0.059338424,0.00025,1019.0,7.391553395324284,4.79452657699585,975,0.4635416666666667,0.015987741553948984,0.2,-23893.92,0.9378480911254883
251136,327,1542,162,-7.972881641652849,0.08310435,0.00025,1019.0,11.545666582054562,6.680075645446777,978,0.4817708333333333,0.027652775079736278,0.2,-24181.62,0.8780627250671387
251904,328,1546,162,-7.9849161638153925,0.04192373,0.00025,1019.0,9.463061402241388,11.613131523132324,981,0.3901909722222222,0.010724908154871728,0.2,-24181.62,0.9508781433105469
252672,329,1551,162,-7.904288020398882,0.12000475,0.00025,1019.0,13.610736548900604,5.796217918395996,984,0.5282118055555556,0.040785908310984574,0.2,-24277.22,0.8517310619354248
253440,330,1555,162,-7.73725954691569,0.045834824,0.00025,1019.0,9.748598943154017,5.03510046005249,987,0.4171006944444444,0.013116500987153914,0.2,-24277.22,0.9617065787315369
254208,331,1562,162,-7.820523414346907,0.056872834,0.00025,1019.0,9.697642869419521,7.053564071655273,990,0.5316840277777778,0.02709712386260637,0.2,-24349.34,0.9054481387138367
254976,332,1566,162,-7.957188109556834,0.048571017,0.00025,1019.0,5.234483003616333,1.9041035175323486,993,0.3893229166666667,0.01538698927551094,0.2,-24349.34,0.9761168956756592
255744,333,1571,162,-7.817937148941888,0.047433123,0.00025,1019.0,13.054565376705593,4.494802951812744,996,0.4340277777777778,0.015954343951307237,0.2,-24345.48,0.8815280199050903
256512,334,1575,162,-7.910575085216099,0.044280116,0.00025,1019.0,6.0568830867608385,3.2885892391204834,999,0.3363715277777778,0.01321261098039233,0.2,-24345.48,0.9601482152938843
257280,335,1579,162,-7.8373215264744225,0.052601308,0.00025,1019.0,11.564933217234081,4.6984686851501465,1002,0.4123263888888889,0.01973049109478274,0.2,-24357.52,0.8574492931365967
258048,336,1584,162,-7.948035697142283,0.055223495,0.00025,1019.0,6.919257173935573,1.8793997764587402,1005,0.4184027777777778,0.02791458836549686,0.2,-24357.52,0.9611592888832092
258816,337,1588,162,-7.878258109092712,0.08732614,0.00025,1019.0,10.463959832986196,4.719086170196533,1008,0.5160590277777778,0.028516191652872495,0.2,-24478.34,0.9078397154808044
259584,338,1593,162,-7.901969989140828,0.0604355,0.00025,1019.0,6.325940552684996,2.5855772495269775,1011,0.44140625,0.029134148550737236,0.2,-24478.34,0.9631824493408203
260352,339,1600,162,-7.991201255056593,0.044843208,0.00025,1019.0,12.711722241507637,6.150950908660889,1014,0.40234375,0.01761056490552922,0.2,-24600.72,0.8722288012504578
261120,340,1604,162,-8.049584282769096,0.037170205,0.00025,1019.0,6.045180079009798,3.228482246398926,1017,0.3728298611111111,0.017395475931051705,0.2,-24600.72,0.9650120735168457
261888,341,1609,162,-8.050784832901424,0.03730513,0.00025,1019.0,14.54948933256997,5.232108116149902,1020,0.3897569444444444,0.017338861640180565,0.2,-24829.88,0.8880031704902649
262656,342,1613,162,-8.113563378651937,0.030865321,0.00025,1019.0,7.651893428630299,6.029932975769043,1023,0.3203125,0.007089406575283242,0.2,-24829.88,0.9469566345214844
263424,343,1617,162,-8.063248263465034,0.04945442,0.00025,1019.0,9.744271169106165,4.398123741149902,1026,0.4283854166666667,0.01779280759445909,0.2,-25002.18,0.9259723424911499
264192,344,1622,162,-8.041066858503553,0.030570215,0.00025,1019.0,8.430407918161816,7.157360553741455,1029,0.3576388888888889,0.00483811221137229,0.2,-25002.18,0.9447863101959229
264960,345,1626,162,-7.99033863014645,0.045007866,0.00025,1019.0,11.446425507465998,7.383453369140625,1032,0.4383680555555556,0.012068129843100905,0.2,-25070.78,0.9156022667884827
265728,346,1634,162,-8.004905058277977,0.059916843,0.00025,1019.0,4.498711958527565,2.7854418754577637,1035,0.3980034722222222,0.00662827954834534,0.2,-25070.78,0.949810802936554
266496,347,1638,162,-8.067626264360216,0.041278783,0.00025,1019.0,13.008677893214756,8.228174209594727,1038,0.4613715277777778,0.028335568650315206,0.2,-25220.54,0.8921400308609009
267264,348,1642,162,-8.089328845342001,0.025826344,0.00025,1019.0,6.101172756817606,0.8027350902557373,1041,0.3502604166666667,0.008871871512383223,0.2,-25220.54,0.9524723887443542
268032,349,1647,162,-8.091851472854614,0.042089794,0.00025,1019.0,11.444964561197493,8.008016586303711,1044,0.48828125,0.016630459525105026,0.2,-25160.74,0.9189289808273315
268800,350,1651,162,-8.107562555207146,0.02983131,0.00025,1019.0,7.63773316807217,1.862461805343628,1047,0.3159722222222222,0.005452814292059177,0.2,-25160.74,0.9509897828102112
269568,351,1656,162,-8.129830135239494,0.07526863,0.00025,1019.0,8.904234498739243,5.445188522338867,1050,0.4487847222222222,0.02412268682383001,0.2,-25029.96,0.9160445928573608
270336,352,1660,162,-8.012926869922214,0.05095582,0.00025,1019.0,5.9610683090156975,3.313310384750366,1053,0.3806423611111111,0.025175955120681062,0.2,-25029.96,0.9538211226463318
271104,353,1668,162,-8.142364581425985,0.036143858,0.00025,1019.0,11.14784280459086,5.856069564819336,1056,0.4249131944444444,0.020402453671623435,0.2,-24897.1,0.8992322087287903
271872,354,1672,162,-8.037453439500597,0.044777494,0.00025,1019.0,7.437454241845343,3.6561477184295654,1059,0.3971354166666667,0.02202725839904613,0.2,-24897.1,0.9445958733558655
272640,355,1676,162,-8.123748713069492,0.05672658,0.00025,1019.0,9.83782990773519,5.550327301025391,1062,0.4735243055555556,0.02587111083428479,0.2,-24784.56,0.9214961528778076
273408,356,1681,162,-8.006596823533377,0.027204,0.00025,1019.0,7.82754514614741,2.148895740509033,1065,0.3363715277777778,0.013851366665524742,0.2,-24784.56,0.9344428181648254
274176,357,1685,162,-8.033992363346947,0.08246238,0.00025,1019.0,10.19896951648924,5.614635944366455,1068,0.4887152777777778,0.028261310576150816,0.2,-24528.8,0.876761257648468
274944,358,1690,162,-7.975553227795495,0.026285285,0.00025,1019.0,5.204153017865287,2.0142874717712402,1071,0.3541666666666667,0.008470677770674229,0.2,-24528.8,0.9581414461135864
275712,359,1694,162,-8.093571139706505,0.041411087,0.00025,1019.0,9.53784481022093,4.229367733001709,1074,0.4427083333333333,0.019841892062686384,0.2,-24334.7,0.908322274684906
276480,360,1698,162,-8.003349410163032,0.055706542,0.00025,1019.0,4.25521314309703,1.0341702699661255,1077,0.3611111111111111,0.012813125995712148,0.2,-24334.7,0.9626075029373169
277248,361,1705,162,-8.003393563959333,0.032075584,0.00025,1019.0,17.36778137087822,7.232293128967285,1080,0.3771701388888889,0.0021983050586034856,0.2,-24132.14,0.8584453463554382
278016,362,1710,162,-7.9329632719357805,0.03826726,0.00025,1019.0,6.817028242680761,2.799410820007324,1083,0.3346354166666667,0.004503196170036163,0.2,-24132.14,0.9091281294822693
278784,363,1714,162,-7.967016147242652,0.020338492,0.00025,1019.0,16.22395126024882,6.50473165512085,1086,0.3372395833333333,0.007373726693913341,0.2,-24078.22,0.8705587983131409
279552,364,1719,162,-7.960600217183431,0.028904574,0.00025,1019.0,8.947421345445845,3.6606807708740234,1089,0.33984375,-0.0017294190410110685,0.2,-24078.22,0.8739323616027832
280320,365,1723,162,-8.092093189557394,0.037837636,0.00025,1019.0,15.104394879606035,3.9540395736694336,1092,0.3090277777777778,0.020039065508171916,0.2,-24125.88,0.9011167287826538
281088,366,1727,162,-7.947369701332516,0.026346913,0.00025,1019.0,9.232409844795862,2.7689883708953857,1095,0.2942708333333333,0.011693741996876068,0.2,-24125.88,0.8837193250656128
281856,367,1732,162,-8.027454826566908,0.029836098,0.00025,1019.0,9.138364089859856,6.711309432983398,1098,0.3055555555555556,0.006608073884207342,0.2,-24157.16,0.908952534198761
282624,368,1739,162,-7.925006714132097,0.019561486,0.00025,1019.0,9.632883293761147,10.542486190795898,1101,0.26953125,0.004690661858249869,0.2,-24157.16,0.9272818565368652
283392,369,1744,162,-8.016915208763546,0.035545457,0.00025,1019.0,19.175044748518204,7.013106822967529,1104,0.3181423611111111,0.0004914964859684309,0.2,-23951.36,0.8329254388809204
284160,370,1748,162,-7.949500726328956,0.02472038,0.00025,1019.0,7.629270909561051,2.7165908813476562,1107,0.2495659722222222,0.009697764885560092,0.2,-23951.36,0.9395835995674133
284928,371,1752,162,-8.04806023173862,0.027557256,0.00025,1019.0,15.935463852352566,5.402215480804443,1110,0.3294270833333333,0.018503426638845768,0.2,-23899.48,0.9045718908309937
285696,372,1757,162,-7.9215130474832325,0.022840908,0.00025,1019.0,10.004863818486532,7.723133087158203,1113,0.2599826388888889,-0.0012697022110741171,0.2,-23899.48,0.9267406463623047
286464,373,1761,162,-8.040671633349525,0.031028934,0.00025,1019.0,15.360577407810423,4.630491733551025,1116,0.3702256944444444,0.014012159495097067,0.2,-23824.98,0.8767880201339722
287232,374,1766,162,-7.9453387127982245,0.025114639,0.00025,1019.0,6.203100987606579,2.087146759033203,1119,0.26953125,-0.0006191260375392934,0.2,-23824.98,0.9549313187599182
288000,375,1773,162,-8.05678160323037,0.047852665,0.00025,1019.0,10.124865223964056,2.562631607055664,1122,0.4084201388888889,0.02382235214786811,0.2,-23692.8,0.9106970429420471
