,x_position,y_position,checkpoints,surfaces,speed
152,3181,1447,3,64,22
153,3180,1446,3,64,30
154,3178,1445,3,64,38
155,3176,1443,3,64,46
156,3174,1441,3,64,54
157,3171,1439,3,64,62
158,3167,1437,3,64,82
159,3163,1433,3,64,106
160,3157,1429,3,64,130
161,3151,1423,3,64,146
162,3143,1418,3,64,162
163,3135,1411,3,64,178
164,3126,1404,3,64,194
165,3116,1396,3,64,226
166,3104,1387,3,64,222
167,3093,1379,3,64,242
168,3081,1369,3,64,282
169,3066,1357,3,64,330
170,3049,1344,3,64,378
171,3029,1329,3,64,426
172,3008,1312,3,64,420
173,2989,1295,3,64,396
174,2972,1278,3,64,369
175,2958,1261,3,64,341
176,2946,1243,3,64,370
177,2935,1221,3,64,418
178,2925,1196,3,64,462
179,2916,1167,3,64,494
180,2907,1137,3,64,526
181,2898,1105,3,64,558
182,2888,1071,3,64,586
183,2879,1044,4,64,578
184,3712,2288,29,64,0
185,3712,2288,29,64,0
186,3712,2288,29,64,0
187,3712,2288,29,64,0
188,3712,2288,29,64,0
189,3712,2288,29,64,0
190,3712,2288,29,64,0
191,3712,2288,29,64,0
192,3712,2288,29,64,0
193,3712,2288,29,64,0
194,3712,2288,29,64,0
195,3712,2288,29,64,0
196,3712,2288,29,64,0
197,3712,2288,29,64,0
198,3712,2287,29,64,8
199,3712,2287,29,64,16
200,3711,2286,29,64,24
201,3711,2284,29,64,32
202,3711,2282,29,64,40
203,3711,2279,29,64,48
204,3711,2276,29,64,56
205,3711,2272,29,64,64
206,3710,2268,29,64,88
207,3710,2262,29,64,112
208,3709,2255,29,64,134
209,3707,2246,29,64,150
210,3706,2236,0,64,166
211,3704,2226,0,64,158
212,3702,2217,0,64,142
213,3700,2209,0,64,126
214,3699,2201,0,64,110
215,3698,2195,0,64,94
216,3697,2189,0,64,78
217,3697,2185,0,64,62
218,3697,2181,0,64,46
219,3696,2179,0,64,30
220,3696,2178,0,64,14
221,3696,2177,0,64,16
222,3696,2176,0,64,24
223,3696,2174,0,64,32
224,3696,2172,0,64,40
225,3696,2169,0,64,48
226,3696,2166,0,64,56
227,3696,2163,0,64,64
228,3695,2158,0,64,88
229,3695,2152,0,64,112
230,3695,2145,0,64,134
231,3695,2136,0,64,150
232,3694,2126,0,64,166
233,3694,2116,0,64,158
234,3693,2107,0,64,142
235,3693,2098,0,64,126
236,3693,2091,0,64,110
237,3693,2084,0,64,124
238,3692,2076,0,64,142
239,3692,2066,0,64,158
240,3692,2056,0,64,174
241,3691,2045,0,64,190
242,3691,2033,0,64,218
243,3691,2018,0,64,250
244,3691,2002,0,64,294
245,3691,1982,0,64,342
246,3691,1960,0,64,390
247,3690,1935,0,64,438
248,3690,1906,0,64,474
249,3690,1877,0,64,464
250,3689,1848,1,64,440
251,3689,1821,1,64,416
252,3688,1796,1,64,392
253,3687,1772,1,64,368
254,3684,1750,1,64,344
255,3680,1730,1,64,320
256,3673,1711,1,64,296
257,3665,1695,1,64,272
258,3655,1681,1,64,302
259,3642,1666,1,64,350
260,3624,1652,1,64,398
261,3603,1638,1,64,392
262,3581,1628,1,64,368
263,3559,1622,1,64,344
264,3539,1617,1,64,320
265,3520,1614,1,64,296
266,3502,1612,1,64,272
267,3486,1610,1,64,250
