rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
2224.0,5077,-126.62773378,1216512,198,239,0.3716227213541667,788,-5.485105300943057,0.9985937476158142,0.2,0.7345000145335993,0.026201567,0.00025,0.01834651927250282,0.3006843626499176
2224.0,5102,-117.84440014000002,1222656,199,239,0.18159993489583334,792,-5.455314387877782,0.9989134073257446,0.2,0.8053504296888908,0.01123884,0.00025,0.005023885518312454,0.2824355661869049
2224.0,5129,-79.87773372000001,1228800,200,239,0.22127278645833334,796,-5.46020981669426,0.9984932541847229,0.2,0.9119583253438274,0.010879333,0.00025,0.004097916486595447,0.2849169373512268
2224.0,5156,-94.9990671,1234944,201,239,0.2742513020833333,800,-5.441182479262352,0.9989756941795349,0.2,0.8056486764301857,0.013068286,0.00025,0.009698423884401564,0.2001459002494812
2224.0,5183,-87.02073358999998,1241088,202,239,0.16861979166666666,804,-5.369326367974281,0.9990086555480957,0.2,0.7678183528284231,0.012682582,0.00025,0.002225131257243144,0.2602567970752716
2224.0,5210,-72.07540045,1247232,203,239,0.19217936197916666,808,-5.369417240222295,0.9990271329879761,0.2,0.7640501086910566,0.012183268,0.00025,0.0008384200385383641,0.19156226515769958
2224.0,5237,-45.08706690000001,1253376,204,239,0.23661295572916666,812,-5.289610296487808,0.997995913028717,0.2,0.9653064552694559,0.019393435,0.00025,0.00554642185306875,0.37015166878700256
2224.0,5263,-20.11606676,1259520,205,239,0.3603922526041667,816,-5.358136768142383,0.9988484978675842,0.2,0.8070618584752083,0.02484946,0.00025,0.017023130552843213,0.27288949489593506
2224.0,5289,-8.77606646000001,1265664,206,239,0.5325927734375,820,-5.428401996692021,0.9984500408172607,0.2,1.0956880977998178,0.028221855,0.00025,0.05025450205236363,0.5533300638198853
2224.0,5316,-25.758399450000006,1271808,207,239,0.40771484375,824,-5.581697463989258,0.9988072514533997,0.2,0.8087275177240372,0.019433869,0.00025,0.02719118513535553,0.3884737491607666
2224.0,5342,-15.281733260000005,1277952,208,239,0.2823486328125,828,-5.747674236694972,0.9986375570297241,0.2,0.9234692982087532,0.019479768,0.00025,0.008687537871689225,0.5481775403022766
2224.0,5369,-17.192399960000003,1284096,209,239,0.21114095052083334,832,-5.638792271415393,0.9984243512153625,0.2,0.9599013657619556,0.0183954,0.00025,0.006710262918204535,0.6135458946228027
2224.0,5395,5.167933159999994,1290240,210,239,0.24422200520833334,836,-5.610894660154979,0.9983044862747192,0.2,0.8849712703377008,0.013598916,0.00025,0.006620901711964204,0.47792521119117737
2224.0,5421,22.49693345000001,1296384,211,239,0.23848470052083334,840,-5.481729139884313,0.9984398484230042,0.2,0.9408892001956701,0.014752996,0.00025,0.005480711108248215,0.4487151503562927
2224.0,5447,28.556933449999995,1302528,212,239,0.3732096354166667,844,-5.371334691842397,0.9984654188156128,0.2,0.7580226094772419,0.035263684,0.00025,0.0184520754313174,0.19684678316116333
2224.0,5473,10.52893354,1308672,213,239,0.3849283854166667,848,-5.416456217567126,0.9984005689620972,0.2,0.9263515683511893,0.017308475,0.00025,0.021699896608576335,0.2113594114780426
