time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/loss,train/policy_gradient_loss,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,train/value_loss
100608,659,152,131,0.00025,0.036007952,0.2,0.9369794726371765,9.408820152282715,0.01485306218576928,-25231.08,0.3441840277777778,390,-6.86336115333769,1019.0,25.87685215473175
101376,664,152,132,0.00025,0.03633976,0.2,0.9159637093544006,26.060779571533203,0.02306776973677592,-25199.36,0.4131944444444444,393,-6.790079898304409,1019.0,40.53613515694936
102144,672,151,133,0.00025,0.03263366,0.2,0.9512311816215515,13.365816116333008,0.007121835576577319,-25199.36,0.3502604166666667,396,-6.894751628239949,1019.0,29.557344555854797
102912,676,152,134,0.00025,0.025606453,0.2,0.9147298336029053,9.249533653259277,0.030527743032305606,-25162.44,0.3550347222222222,399,-6.836873690287272,1019.0,39.977939036157395
103680,681,152,135,0.00025,0.040956214,0.2,0.950269341468811,10.96388053894043,0.020609003465829626,-25162.44,0.3585069444444444,402,-6.8545116848415795,1019.0,22.79350076119105
104448,686,152,136,0.00025,0.036958892,0.2,0.9303469061851501,12.545052528381348,0.030605721442649763,-25127.08,0.3645833333333333,405,-6.733464492691888,1019.0,45.98683579100503
105216,691,152,137,0.00025,0.04981081,0.2,0.9640703797340393,8.210896492004395,0.020916002699070506,-25127.08,0.3971354166666667,408,-6.682441545857324,1019.0,20.178304784827763
105984,695,152,138,0.00025,0.037985805,0.2,0.9399935007095337,16.34160804748535,0.020983784304310877,-24974.98,0.4388020833333333,411,-6.466709759500292,1019.0,26.91590569416682
106752,700,152,139,0.00025,0.05939102,0.2,0.9719365239143372,5.808615207672119,0.01493085102022936,-24974.98,0.3572048611111111,414,-6.5671918922000465,1019.0,15.351720637745327
107520,707,151,140,0.00025,0.14923298,0.2,0.9371216297149658,13.28826904296875,0.07082202379953945,-24671.58,0.4674479166666667,417,-6.61383040746053,1019.0,30.567054940594566
108288,712,152,141,0.00025,0.046636015,0.2,0.957786500453949,8.450278282165527,0.0258252955843798,-24671.58,0.3919270833333333,420,-6.798820773760478,1019.0,20.70489931768841
109056,716,152,142,0.00025,0.041045148,0.2,0.94966721534729,10.567811012268066,0.05858869782079839,-24448.76,0.4613715277777778,423,-6.63939854171541,1019.0,27.675042072931927
109824,721,152,143,0.00025,0.04897791,0.2,0.9812588691711426,9.121254920959473,0.005317150013676534,-24448.76,0.3576388888888889,426,-6.670282867219713,1019.0,14.936507771412531
