time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss
417792,2413,173,40.67718999,68,1331.9,268,0.2,-7.415281554063161,0.00025,0.030710489,0.3261311848958333,0.9612243175506592,0.004219844629308985,11.532973090807596,5.820756435394287
423936,2445,173,49.82364493000001,69,1253.55,272,0.2,-7.314755121866862,0.00025,0.05445132,0.4868570963541667,0.9615206718444824,0.023976753305760212,9.989352097113928,4.345690727233887
430080,2471,173,40.782565,70,1300.86,276,0.2,-7.245175992449124,0.00025,0.034661237,0.3426513671875,0.9615761041641235,0.008080550469458103,8.06069827079773,2.661923885345459
436224,2503,174,40.681930009999995,71,1345.34,280,0.2,-7.160426939527194,0.00025,0.03233604,0.378662109375,0.9492757320404053,0.005614622263237834,13.455512916048368,4.518381118774414
442368,2541,174,52.09706,72,1355.51,284,0.2,-7.2020107706387835,0.00025,0.040246952,0.3601481119791667,0.9634025692939758,0.00232483693495548,12.474260220925013,5.067215919494629
448512,2584,173,38.54874997000001,73,1354.83,288,0.2,-7.086571762959163,0.00025,0.02578261,0.3659261067708333,0.9681503176689148,0.005670194825749301,12.503111879030863,4.461315155029297
454656,2626,173,37.02560496,74,1382.9,292,0.2,-7.126210381587346,0.00025,0.024540694,0.3382161458333333,0.9211936593055725,0.014337321893738894,18.068301007151604,6.626443386077881
460800,2664,172,31.702245010000002,75,1450.46,296,0.2,-7.12984358270963,0.00025,0.028966645,0.4278564453125,0.9648080468177795,0.014785832211297626,9.524052624901136,4.511282444000244
466944,2703,172,33.87362504,76,1416.95,300,0.2,-7.1975344469149904,0.00025,0.02025027,0.29638671875,0.9471636414527893,0.00848428028014799,16.44654893875122,6.347611904144287
473088,2735,172,34.97029999,77,1380.61,304,0.2,-7.214777578910192,0.00025,0.058400106,0.3798421223958333,0.9719153046607971,0.012319418713256406,8.682350461681684,4.149294376373291
479232,2776,172,60.334640040000004,78,1324.75,308,0.2,-6.99716728925705,0.00025,0.028281001,0.3312174479166667,0.9496356844902039,0.008030010406704,15.453556915124258,9.177275657653809
485376,2815,172,63.959605030000006,79,1307.07,312,0.2,-6.957175314426422,0.00025,0.02407445,0.3240152994791667,0.9653363823890686,0.005306689626498458,9.936536088585854,3.671462297439575
491520,2849,172,62.20242499000001,80,1313.4,316,0.2,-6.8910959015289945,0.00025,0.026913121,0.312255859375,0.9639225006103516,0.0016190530926299591,14.492333541313807,7.051738739013672
497664,2886,172,76.57290500000002,81,1283.58,320,0.2,-6.764725610613823,0.00025,0.015724042,0.2632242838541667,0.9612991809844971,-0.0036508995350838327,12.428236226240793,5.170107364654541
503808,2920,172,83.21043502999999,82,1292.75,324,0.2,-6.8967567682266235,0.00025,0.035450675,0.4624837239583333,0.96349036693573,0.017436141407718726,13.339844852685928,4.800472259521484
509952,2964,171,71.81558508,83,1322.12,328,0.2,-6.790775343775749,0.00025,0.03625245,0.3361409505208333,0.96684330701828,0.0043818414948570234,12.221306850512823,3.5160350799560547
516096,3000,172,61.20617507,84,1365.57,332,0.2,-6.867257217566173,0.00025,0.048425738,0.4042561848958333,0.9422831535339355,0.02050355747633148,11.094689726829529,3.745521306991577
522240,3037,171,68.88000511000001,85,1324.81,336,0.2,-6.761435434222221,0.00025,0.04061338,0.3430582682291667,0.9722041487693787,0.00833143386989832,11.030204132199287,4.419524192810059
528384,3070,172,58.65886012,86,1335.1,340,0.2,-6.680021593968074,0.00025,0.037795544,0.3718668619791667,0.9614133238792419,0.01002010602678638,11.61791600783666,5.4632697105407715
